filename,width,height,class,xmin,ymin,xmax,ymax
01775.jpeg,177,178,D7,51,56,115,117
00480.jpeg,172,173,T62,57,64,112,120
01946.jpeg,158,158,2S1,44,58,115,101
02297.jpeg,128,128,BMP2,33,49,92,86
02283.jpeg,128,128,BMP2,33,47,94,90
00494.jpeg,172,173,T62,53,56,118,118
01952.jpeg,158,158,2S1,60,68,109,113
02730.jpeg,192,193,ZIL131,65,60,124,130
00127.jpeg,128,128,BTR60,31,43,90,84
01239.jpeg,128,129,BRDM_2,34,42,93,90
00899.jpeg,158,158,ZSU_23_4,50,52,107,109
00641.jpeg,128,128,T72,31,45,94,90
02056.jpeg,158,158,2S1,48,56,113,105
02042.jpeg,158,158,2S1,44,58,117,105
00655.jpeg,128,128,T72,33,49,92,92
00133.jpeg,128,128,BTR60,45,41,90,94
02724.jpeg,192,193,ZIL131,65,64,126,130
01205.jpeg,128,129,BRDM_2,48,52,85,88
01563.jpeg,128,128,BTR70,33,41,92,90
01577.jpeg,128,128,BTR70,39,57,82,96
00669.jpeg,128,128,T72,31,41,90,88
02718.jpeg,192,193,ZIL131,65,62,124,130
01211.jpeg,128,129,BRDM_2,44,42,87,90
02095.jpeg,158,158,2S1,42,52,111,109
00682.jpeg,128,128,T72,31,45,90,88
00696.jpeg,128,128,T72,31,45,94,88
01588.jpeg,128,128,BTR70,31,41,92,92
02081.jpeg,158,158,2S1,54,54,105,111
00866.jpeg,158,158,ZSU_23_4,50,50,109,109
00872.jpeg,158,158,ZSU_23_4,44,56,107,109
00864.jpeg,158,158,ZSU_23_4,54,54,111,107
00870.jpeg,158,158,ZSU_23_4,46,56,111,103
00858.jpeg,158,158,ZSU_23_4,52,48,107,109
00680.jpeg,128,128,T72,37,39,90,92
02097.jpeg,158,158,2S1,52,46,107,113
02083.jpeg,158,158,2S1,44,54,107,107
00694.jpeg,128,128,T72,31,45,94,88
01561.jpeg,128,128,BTR70,39,57,82,96
02068.jpeg,158,158,2S1,54,50,113,109
01207.jpeg,128,129,BRDM_2,32,44,91,92
00119.jpeg,128,128,BTR60,39,35,84,88
01213.jpeg,128,129,BRDM_2,42,38,83,92
01575.jpeg,128,128,BTR70,31,43,92,90
02054.jpeg,158,158,2S1,46,50,109,111
00643.jpeg,128,128,T72,35,45,94,84
00125.jpeg,128,128,BTR60,35,37,94,82
02732.jpeg,192,193,ZIL131,57,62,130,128
02726.jpeg,192,193,ZIL131,57,64,130,132
00131.jpeg,128,128,BTR60,35,37,94,84
00657.jpeg,128,128,T72,37,37,90,92
01549.jpeg,128,128,BTR70,29,47,94,84
02040.jpeg,158,158,2S1,48,66,99,113
01978.jpeg,158,158,2S1,46,50,113,111
02295.jpeg,128,128,BMP2,41,41,90,90
01944.jpeg,158,158,2S1,46,52,107,107
00482.jpeg,172,173,T62,55,50,116,118
01950.jpeg,158,158,2S1,54,44,109,109
00496.jpeg,172,173,T62,50,56,120,110
01788.jpeg,177,178,D7,49,56,119,113
02281.jpeg,128,128,BMP2,41,49,86,94
01005.jpeg,158,158,ZSU_23_4,46,54,111,101
01763.jpeg,177,178,D7,63,54,119,119
01777.jpeg,177,178,D7,55,54,117,117
00469.jpeg,172,173,T62,50,60,120,116
02518.jpeg,192,193,ZIL131,57,72,130,128
01011.jpeg,158,158,ZSU_23_4,46,54,109,107
02530.jpeg,192,193,ZIL131,61,64,128,130
00327.jpeg,172,173,T62,55,54,112,120
01039.jpeg,158,158,ZSU_23_4,48,52,109,107
01987.jpeg,158,158,2S1,48,54,113,107
00441.jpeg,172,173,T62,48,60,120,116
02256.jpeg,128,128,BMP2,39,35,86,92
02242.jpeg,128,128,BMP2,33,47,88,92
01993.jpeg,158,158,2S1,46,68,97,111
00455.jpeg,172,173,T62,53,50,116,120
00333.jpeg,172,173,T62,57,64,114,118
02524.jpeg,192,193,ZIL131,59,62,130,132
01818.jpeg,177,178,D7,59,58,123,117
00290.jpeg,172,173,T62,48,56,116,118
02487.jpeg,192,193,ZIL131,61,64,128,128
01830.jpeg,177,178,D7,55,56,117,117
01824.jpeg,177,178,D7,55,54,117,119
02493.jpeg,192,193,ZIL131,59,60,128,134
00284.jpeg,172,173,T62,50,58,120,110
01171.jpeg,128,129,BRDM_2,34,40,87,92
02478.jpeg,192,193,ZIL131,69,70,128,132
00509.jpeg,172,173,T62,51,50,118,116
01617.jpeg,177,178,D7,53,58,117,117
01603.jpeg,128,128,BTR70,37,37,88,94
01165.jpeg,128,129,BRDM_2,34,40,91,82
02444.jpeg,128,128,BMP2,41,43,92,84
00253.jpeg,128,128,BTR60,43,37,82,78
00535.jpeg,172,173,T62,53,60,120,118
02322.jpeg,128,128,BMP2,29,45,90,86
02336.jpeg,128,128,BMP2,33,49,92,88
00521.jpeg,172,173,T62,50,54,118,116
01159.jpeg,128,129,BRDM_2,32,44,91,82
00247.jpeg,128,128,BTR60,33,35,92,82
02450.jpeg,192,193,ZIL131,54,72,130,124
00910.jpeg,158,158,ZSU_23_4,46,54,111,101
00904.jpeg,158,158,ZSU_23_4,46,56,113,107
02685.jpeg,192,193,ZIL131,65,64,192,120
00092.jpeg,128,128,BTR60,37,41,92,94
01398.jpeg,128,128,BTR70,41,33,82,74
00086.jpeg,128,128,BTR60,41,53,84,92
02691.jpeg,192,193,ZIL131,61,60,126,134
00938.jpeg,158,158,ZSU_23_4,48,56,111,109
01415.jpeg,128,128,BTR70,31,47,94,86
01373.jpeg,128,129,BRDM_2,34,40,93,84
00079.jpeg,128,128,BTR60,37,43,94,90
01367.jpeg,128,129,BRDM_2,34,40,91,82
02108.jpeg,158,158,2S1,46,56,115,105
01401.jpeg,128,128,BTR70,37,39,92,92
02120.jpeg,158,158,2S1,40,58,111,103
01429.jpeg,128,128,BTR70,43,59,84,98
00737.jpeg,128,128,T72,37,41,88,96
00051.jpeg,128,128,BTR60,47,53,88,96
02646.jpeg,192,193,ZIL131,61,62,132,126
02652.jpeg,192,193,ZIL131,61,60,126,132
00045.jpeg,128,128,BTR60,39,41,92,92
00723.jpeg,128,128,T72,41,45,86,96
02134.jpeg,158,158,2S1,44,58,113,105
00044.jpeg,128,128,BTR60,39,43,90,94
02653.jpeg,192,193,ZIL131,59,66,132,128
02135.jpeg,158,158,2S1,46,54,113,111
00722.jpeg,128,128,T72,33,49,96,88
00736.jpeg,128,128,T72,33,39,88,92
01428.jpeg,128,128,BTR70,33,41,88,90
02121.jpeg,158,158,2S1,48,48,113,111
02647.jpeg,192,193,ZIL131,57,68,135,120
00050.jpeg,128,128,BTR60,35,35,94,82
01366.jpeg,128,129,BRDM_2,34,54,79,92
00078.jpeg,128,128,BTR60,0,11,82,124
01400.jpeg,128,128,BTR70,31,47,94,84
02109.jpeg,158,158,2S1,50,46,107,111
01414.jpeg,128,128,BTR70,31,49,94,86
01372.jpeg,128,129,BRDM_2,40,48,81,92
02690.jpeg,192,193,ZIL131,57,66,135,120
00087.jpeg,128,128,BTR60,33,41,94,86
01399.jpeg,128,128,BTR70,37,39,92,92
00939.jpeg,158,158,ZSU_23_4,44,60,111,107
00093.jpeg,128,128,BTR60,33,41,94,80
02684.jpeg,192,193,ZIL131,54,72,132,126
00905.jpeg,158,158,ZSU_23_4,46,52,111,103
00911.jpeg,158,158,ZSU_23_4,56,60,109,109
00520.jpeg,172,173,T62,53,54,116,120
02337.jpeg,128,128,BMP2,39,41,92,94
02451.jpeg,192,193,ZIL131,61,62,135,124
00246.jpeg,128,128,BTR60,31,45,92,86
01158.jpeg,128,129,BRDM_2,34,38,91,86
00252.jpeg,128,128,BTR60,33,45,90,86
02445.jpeg,128,128,BMP2,41,41,90,86
02323.jpeg,128,128,BMP2,35,45,94,84
00534.jpeg,172,173,T62,55,50,116,122
01602.jpeg,128,128,BTR70,39,43,92,96
01164.jpeg,128,129,BRDM_2,34,40,93,94
02479.jpeg,192,193,ZIL131,59,68,132,124
01170.jpeg,128,129,BRDM_2,34,40,85,92
01616.jpeg,177,178,D7,49,58,123,115
00508.jpeg,172,173,T62,50,58,120,114
01825.jpeg,177,178,D7,59,60,123,117
00285.jpeg,172,173,T62,55,52,114,120
02492.jpeg,192,193,ZIL131,61,68,130,128
02486.jpeg,192,193,ZIL131,65,74,124,136
00291.jpeg,172,173,T62,50,62,118,116
01831.jpeg,177,178,D7,53,56,119,113
01819.jpeg,177,178,D7,57,60,125,113
00454.jpeg,172,173,T62,55,50,114,118
01992.jpeg,158,158,2S1,60,70,109,113
02243.jpeg,128,128,BMP2,33,41,84,86
02525.jpeg,192,193,ZIL131,65,60,126,130
00332.jpeg,172,173,T62,48,64,120,116
01038.jpeg,158,158,ZSU_23_4,50,46,107,107
00326.jpeg,172,173,T62,53,52,114,122
02531.jpeg,192,193,ZIL131,63,70,124,130
02257.jpeg,128,128,BMP2,43,55,86,96
00440.jpeg,172,173,T62,53,54,116,122
01986.jpeg,158,158,2S1,44,52,113,107
00468.jpeg,172,173,T62,48,56,118,112
01776.jpeg,177,178,D7,57,58,117,121
01010.jpeg,158,158,ZSU_23_4,50,56,105,107
02519.jpeg,192,193,ZIL131,54,70,130,128
01004.jpeg,158,158,ZSU_23_4,46,54,107,111
01762.jpeg,177,178,D7,55,58,123,115
02280.jpeg,128,128,BMP2,35,41,92,90
01789.jpeg,177,178,D7,49,56,117,117
00497.jpeg,172,173,T62,50,56,118,114
01951.jpeg,158,158,2S1,54,46,105,113
00483.jpeg,172,173,T62,53,50,118,116
01945.jpeg,158,158,2S1,50,50,113,111
02294.jpeg,128,128,BMP2,31,45,90,90
01979.jpeg,158,158,2S1,44,58,111,103
00130.jpeg,128,128,BTR60,39,37,82,92
02727.jpeg,192,193,ZIL131,57,68,132,128
02041.jpeg,158,158,2S1,48,48,105,109
01548.jpeg,128,128,BTR70,45,35,86,80
00656.jpeg,128,128,T72,29,43,92,86
00642.jpeg,128,128,T72,43,47,88,92
02055.jpeg,158,158,2S1,44,48,109,109
02733.jpeg,192,193,ZIL131,56,70,132,126
00124.jpeg,128,128,BTR60,35,41,96,86
01212.jpeg,128,129,BRDM_2,42,54,85,92
01574.jpeg,128,128,BTR70,35,55,80,94
02069.jpeg,158,158,2S1,44,54,113,109
01560.jpeg,128,128,BTR70,29,45,92,84
00118.jpeg,128,128,BTR60,39,35,86,88
01206.jpeg,128,129,BRDM_2,38,36,87,92
00695.jpeg,128,128,T72,39,45,90,94
02082.jpeg,158,158,2S1,46,60,113,105
02096.jpeg,158,158,2S1,44,56,107,103
00681.jpeg,128,128,T72,37,45,94,92
00859.jpeg,158,158,ZSU_23_4,44,60,109,107
00871.jpeg,158,158,ZSU_23_4,44,60,111,107
00865.jpeg,158,158,ZSU_23_4,50,48,107,109
00685.jpeg,128,128,T72,33,49,94,92
02092.jpeg,158,158,2S1,46,52,109,105
02086.jpeg,158,158,2S1,46,54,113,111
00849.jpeg,158,158,ZSU_23_4,46,50,111,101
00691.jpeg,128,128,T72,37,39,88,92
00861.jpeg,158,158,ZSU_23_4,50,48,105,109
00875.jpeg,158,158,ZSU_23_4,50,52,111,111
00120.jpeg,128,128,BTR60,35,37,90,86
02737.jpeg,192,193,ZIL131,54,68,130,128
02051.jpeg,158,158,2S1,44,52,109,105
00646.jpeg,128,128,T72,39,37,92,94
01558.jpeg,128,128,BTR70,35,45,94,88
00652.jpeg,128,128,T72,33,49,96,92
02045.jpeg,158,158,2S1,46,50,113,109
02723.jpeg,192,193,ZIL131,61,66,130,126
00134.jpeg,128,128,BTR60,35,41,88,90
01202.jpeg,128,129,BRDM_2,48,50,89,90
01564.jpeg,128,128,BTR70,35,41,94,88
02079.jpeg,158,158,2S1,48,64,99,111
01570.jpeg,128,128,BTR70,51,57,92,92
01216.jpeg,128,129,BRDM_2,40,36,87,92
00108.jpeg,128,128,BTR60,35,39,86,92
02290.jpeg,128,128,BMP2,35,43,90,94
00487.jpeg,172,173,T62,51,50,118,116
01941.jpeg,158,158,2S1,54,44,107,109
01799.jpeg,177,178,D7,47,56,117,113
00493.jpeg,172,173,T62,51,54,116,122
01955.jpeg,158,158,2S1,48,44,109,109
02284.jpeg,128,128,BMP2,37,39,86,86
01969.jpeg,158,158,2S1,38,24,107,113
00444.jpeg,172,173,T62,53,52,114,122
01982.jpeg,158,158,2S1,44,56,111,101
02253.jpeg,128,128,BMP2,41,45,92,86
02535.jpeg,192,193,ZIL131,65,58,132,136
00322.jpeg,172,173,T62,51,54,120,114
00336.jpeg,172,173,T62,50,56,120,112
01028.jpeg,158,158,ZSU_23_4,46,54,113,103
02521.jpeg,192,193,ZIL131,65,70,126,132
02247.jpeg,128,128,BMP2,41,43,92,84
00450.jpeg,172,173,T62,50,56,116,114
01996.jpeg,158,158,2S1,44,54,105,105
01766.jpeg,177,178,D7,57,60,113,119
00478.jpeg,172,173,T62,50,60,123,112
01000.jpeg,158,158,ZSU_23_4,50,48,109,107
02509.jpeg,192,193,ZIL131,57,66,132,132
01014.jpeg,158,158,ZSU_23_4,54,60,109,109
01772.jpeg,177,178,D7,59,52,119,119
01835.jpeg,177,178,D7,55,56,113,119
00295.jpeg,172,173,T62,53,52,114,118
02482.jpeg,192,193,ZIL131,69,84,130,136
02496.jpeg,192,193,ZIL131,61,66,130,130
00281.jpeg,172,173,T62,51,52,118,118
01821.jpeg,177,178,D7,51,56,119,115
01809.jpeg,177,178,D7,57,52,117,119
00530.jpeg,172,173,T62,53,52,114,122
02327.jpeg,128,128,BMP2,35,41,92,90
02441.jpeg,128,128,BMP2,37,39,86,86
01148.jpeg,128,129,BRDM_2,46,52,89,88
00256.jpeg,172,173,T62,59,58,118,120
00242.jpeg,128,128,BTR60,39,35,84,88
02455.jpeg,192,193,ZIL131,59,78,120,132
02333.jpeg,128,128,BMP2,41,47,82,94
00524.jpeg,172,173,T62,50,58,120,116
01612.jpeg,128,128,BTR70,33,45,94,84
01174.jpeg,128,129,BRDM_2,46,52,85,92
02469.jpeg,192,193,ZIL131,57,68,135,122
01160.jpeg,128,129,BRDM_2,36,48,79,86
00518.jpeg,172,173,T62,53,52,114,118
01606.jpeg,128,128,BTR70,31,43,94,82
02680.jpeg,192,193,ZIL131,67,66,122,130
01389.jpeg,128,128,BTR70,31,45,94,86
00097.jpeg,128,128,BTR60,43,41,90,94
00929.jpeg,158,158,ZSU_23_4,52,46,103,113
00083.jpeg,128,128,BTR60,31,47,90,86
02694.jpeg,192,193,ZIL131,65,62,126,130
00915.jpeg,158,158,ZSU_23_4,50,52,109,109
00901.jpeg,158,158,ZSU_23_4,48,50,111,111
00054.jpeg,128,128,BTR60,37,39,84,92
02643.jpeg,192,193,ZIL131,65,64,126,130
02125.jpeg,158,158,2S1,44,54,113,109
00732.jpeg,128,128,T72,31,45,94,88
01438.jpeg,128,128,BTR70,35,57,82,96
00726.jpeg,128,128,T72,39,39,94,94
02131.jpeg,158,158,2S1,50,46,103,109
02657.jpeg,192,193,ZIL131,54,72,132,124
00040.jpeg,128,128,BTR60,33,41,94,80
00068.jpeg,128,128,BTR60,35,43,96,82
01376.jpeg,128,129,BRDM_2,38,38,89,88
01410.jpeg,128,128,BTR70,35,51,84,90
02119.jpeg,158,158,2S1,46,70,97,113
01404.jpeg,128,128,BTR70,35,47,94,86
01362.jpeg,128,129,BRDM_2,48,54,89,90
01405.jpeg,128,128,BTR70,39,57,80,96
01363.jpeg,128,129,BRDM_2,46,52,85,90
01377.jpeg,128,129,BRDM_2,40,50,79,86
00069.jpeg,128,128,BTR60,31,43,94,82
02118.jpeg,158,158,2S1,52,48,111,107
01411.jpeg,128,128,BTR70,31,51,94,90
02130.jpeg,158,158,2S1,48,40,107,111
00727.jpeg,128,128,T72,33,39,88,94
01439.jpeg,128,128,BTR70,45,61,84,100
00041.jpeg,128,128,BTR60,33,41,88,94
02656.jpeg,192,193,ZIL131,61,60,126,134
02642.jpeg,192,193,ZIL131,54,70,128,128
00055.jpeg,128,128,BTR60,33,43,94,82
00733.jpeg,128,128,T72,37,39,86,92
02124.jpeg,158,158,2S1,54,46,105,113
00900.jpeg,158,158,ZSU_23_4,44,56,111,105
00914.jpeg,158,158,ZSU_23_4,50,50,105,111
02695.jpeg,192,193,ZIL131,67,70,124,130
00082.jpeg,128,128,BTR60,41,45,82,90
00096.jpeg,128,128,BTR60,49,41,90,82
01388.jpeg,128,128,BTR70,31,43,96,82
02681.jpeg,192,193,ZIL131,57,70,134,122
00928.jpeg,158,158,ZSU_23_4,46,54,111,101
01161.jpeg,128,129,BRDM_2,36,42,93,80
02468.jpeg,192,193,ZIL131,59,68,130,128
01607.jpeg,128,128,BTR70,33,47,94,86
00519.jpeg,172,173,T62,55,50,116,118
01613.jpeg,128,128,BTR70,33,39,94,86
01175.jpeg,128,129,BRDM_2,36,38,91,84
02454.jpeg,192,193,ZIL131,67,64,126,130
00243.jpeg,128,128,BTR60,33,41,94,80
00525.jpeg,172,173,T62,48,62,120,116
02332.jpeg,128,128,BMP2,35,41,92,84
02326.jpeg,128,128,BMP2,35,47,90,88
00531.jpeg,172,173,T62,51,58,121,110
00257.jpeg,172,173,T62,50,54,118,118
01149.jpeg,128,129,BRDM_2,54,42,93,78
02440.jpeg,128,128,BMP2,39,45,90,96
01808.jpeg,177,178,D7,57,56,113,117
00280.jpeg,172,173,T62,50,58,120,112
02497.jpeg,192,193,ZIL131,69,76,132,136
01820.jpeg,177,178,D7,55,60,115,119
01834.jpeg,177,178,D7,59,54,121,117
02483.jpeg,192,193,ZIL131,59,66,134,126
00294.jpeg,172,173,T62,48,56,120,114
01015.jpeg,158,158,ZSU_23_4,46,54,109,111
01773.jpeg,177,178,D7,59,58,121,117
00479.jpeg,172,173,T62,55,52,116,122
01767.jpeg,177,178,D7,57,58,113,119
02508.jpeg,192,193,ZIL131,71,64,130,124
01001.jpeg,158,158,ZSU_23_4,46,54,111,107
02520.jpeg,192,193,ZIL131,56,68,134,120
01029.jpeg,158,158,ZSU_23_4,46,54,109,105
00337.jpeg,172,173,T62,48,58,118,112
01997.jpeg,158,158,2S1,46,48,107,113
00451.jpeg,172,173,T62,51,54,120,114
02246.jpeg,128,128,BMP2,31,47,92,86
02252.jpeg,128,128,BMP2,37,39,92,92
01983.jpeg,158,158,2S1,50,44,105,111
00445.jpeg,172,173,T62,51,62,120,116
00323.jpeg,172,173,T62,51,56,118,118
02534.jpeg,192,193,ZIL131,57,68,135,120
01968.jpeg,158,158,2S1,46,48,109,111
02285.jpeg,128,128,BMP2,43,45,84,94
01954.jpeg,158,158,2S1,56,62,107,113
00492.jpeg,172,173,T62,51,54,120,114
01798.jpeg,177,178,D7,55,60,127,115
01940.jpeg,158,158,2S1,50,44,111,109
00486.jpeg,172,173,T62,51,58,120,118
02291.jpeg,128,128,BMP2,43,45,86,86
01571.jpeg,128,128,BTR70,35,41,94,90
02078.jpeg,158,158,2S1,50,52,111,113
00109.jpeg,128,128,BTR60,41,41,82,96
01217.jpeg,128,129,BRDM_2,46,52,87,90
01203.jpeg,128,129,BRDM_2,34,36,91,88
01565.jpeg,128,128,BTR70,35,43,94,84
02044.jpeg,158,158,2S1,48,46,109,109
00653.jpeg,128,128,T72,33,47,96,88
00135.jpeg,128,128,BTR60,43,47,90,94
02722.jpeg,192,193,ZIL131,65,62,124,132
02736.jpeg,192,193,ZIL131,65,60,126,132
00121.jpeg,128,128,BTR60,37,39,88,84
01559.jpeg,128,128,BTR70,39,57,82,96
00647.jpeg,128,128,T72,35,45,96,92
02050.jpeg,158,158,2S1,44,56,111,105
00874.jpeg,158,158,ZSU_23_4,44,54,109,103
00860.jpeg,158,158,ZSU_23_4,52,50,105,111
00690.jpeg,128,128,T72,43,49,88,94
00848.jpeg,158,158,ZSU_23_4,48,50,109,109
02087.jpeg,158,158,2S1,44,46,111,107
02093.jpeg,158,158,2S1,44,54,113,107
00684.jpeg,128,128,T72,31,43,92,92
02085.jpeg,158,158,2S1,44,60,113,103
00692.jpeg,128,128,T72,33,47,94,94
01598.jpeg,128,128,BTR70,33,55,78,92
00686.jpeg,128,128,T72,33,47,94,90
02091.jpeg,158,158,2S1,44,56,111,109
00876.jpeg,158,158,ZSU_23_4,46,58,111,109
00862.jpeg,158,158,ZSU_23_4,50,48,107,111
02720.jpeg,192,193,ZIL131,56,74,122,136
01229.jpeg,128,129,BRDM_2,36,40,85,92
00137.jpeg,128,128,BTR60,0,0,128,128
00651.jpeg,128,128,T72,35,43,92,92
